LocalizedName, BlockState
熔岩木楼梯, tconstruct:lavawood_stairs[facing=east,half=bottom,shape=straight]
钴块, tconstruct:metal[type=cobalt]
阿迪特块, tconstruct:metal[type=ardite]
玛玉灵块, tconstruct:metal[type=manyullyn]
骑士史莱姆块, tconstruct:metal[type=knightslime]
生铁块, tconstruct:metal[type=pigiron]
铝黄铜块, tconstruct:metal[type=alubrass]
精致珠宝块, tconstruct:metal[type=silky_jewel]
绿色史莱姆泥土, tconstruct:slime_dirt[type=green]
蓝色史莱姆泥土, tconstruct:slime_dirt[type=blue]
紫色史莱姆泥土, tconstruct:slime_dirt[type=purple]
熔岩史莱姆泥土, tconstruct:slime_dirt[type=magma]
史莱姆草方块, tconstruct:slime_grass[foliage=blue,snowy=false,type=vanilla]
绿色史莱姆草方块, tconstruct:slime_grass[foliage=blue,snowy=false,type=green]
蓝色史莱姆草方块, tconstruct:slime_grass[foliage=blue,snowy=false,type=blue]
紫色史莱姆草方块, tconstruct:slime_grass[foliage=blue,snowy=false,type=purple]
熔岩史莱姆草方块, tconstruct:slime_grass[foliage=blue,snowy=false,type=magma]
史莱姆草方块, tconstruct:slime_grass[foliage=purple,snowy=false,type=vanilla]
绿色史莱姆草方块, tconstruct:slime_grass[foliage=purple,snowy=false,type=green]
蓝色史莱姆草方块, tconstruct:slime_grass[foliage=purple,snowy=false,type=blue]
紫色史莱姆草方块, tconstruct:slime_grass[foliage=purple,snowy=false,type=purple]
熔岩史莱姆草方块, tconstruct:slime_grass[foliage=purple,snowy=false,type=magma]
史莱姆草方块, tconstruct:slime_grass[foliage=orange,snowy=false,type=vanilla]
绿色史莱姆草方块, tconstruct:slime_grass[foliage=orange,snowy=false,type=green]
蓝色史莱姆草方块, tconstruct:slime_grass[foliage=orange,snowy=false,type=blue]
紫色史莱姆草方块, tconstruct:slime_grass[foliage=orange,snowy=false,type=purple]
熔岩史莱姆草方块, tconstruct:slime_grass[foliage=orange,snowy=false,type=magma]
蓝色史莱姆树叶, tconstruct:slime_leaves[check_decay=false,decayable=true,foliage=blue]
紫色史莱姆树叶, tconstruct:slime_leaves[check_decay=false,decayable=true,foliage=purple]
橙色史莱姆树叶, tconstruct:slime_leaves[check_decay=false,decayable=true,foliage=orange]
史莱姆草, tconstruct:slime_grass_tall[foliage=blue,type=tall_grass]
史莱姆草, tconstruct:slime_grass_tall[foliage=purple,type=tall_grass]
史莱姆草, tconstruct:slime_grass_tall[foliage=orange,type=tall_grass]
史莱姆蕨, tconstruct:slime_grass_tall[foliage=blue,type=fern]
史莱姆蕨, tconstruct:slime_grass_tall[foliage=purple,type=fern]
史莱姆蕨, tconstruct:slime_grass_tall[foliage=orange,type=fern]
蓝色史莱姆树苗, tconstruct:slime_sapling[foliage=blue,stage=0,type=oak]
紫色史莱姆树苗, tconstruct:slime_sapling[foliage=purple,stage=0,type=oak]
熔岩史莱姆树苗, tconstruct:slime_sapling[foliage=orange,stage=0,type=oak]
蓝色史莱姆藤蔓, tconstruct:slime_vine_blue_end[east=false,north=false,south=false,up=false,west=false]
蓝色史莱姆藤蔓, tconstruct:slime_vine_blue_mid[east=false,north=false,south=false,up=false,west=false]
蓝色史莱姆藤蔓, tconstruct:slime_vine_blue[east=false,north=false,south=false,up=false,west=false]
紫色史莱姆藤蔓, tconstruct:slime_vine_purple_end[east=false,north=false,south=false,up=false,west=false]
紫色史莱姆藤蔓, tconstruct:slime_vine_purple_mid[east=false,north=false,south=false,up=false,west=false]
紫色史莱姆藤蔓, tconstruct:slime_vine_purple[east=false,north=false,south=false,up=false,west=false]
合成站, tconstruct:tooltables[type=craftingstation]
模具加工台, tconstruct:tooltables[type=stenciltable]
模具箱, tconstruct:tooltables[type=patternchest]
部件加工台, tconstruct:tooltables[type=partbuilder]
部件箱, tconstruct:tooltables[type=partchest]
工具装配台, tconstruct:tooltables[type=toolstation]
工具装配台, tconstruct:toolforge
焦黑石头, tconstruct:seared[type=stone]
焦黑圆石, tconstruct:seared[type=cobble]
焦黑盖板石, tconstruct:seared[type=paver]
焦黑石砖, tconstruct:seared[type=brick]
裂纹焦黑石砖, tconstruct:seared[type=brick_cracked]
平滑焦黑石砖, tconstruct:seared[type=brick_fancy]
錾制焦黑石砖, tconstruct:seared[type=brick_square]
焦黑铺路石, tconstruct:seared[type=road]
焦黑雕琢石砖块, tconstruct:seared[type=creeper]
三角纹焦黑石砖, tconstruct:seared[type=brick_triangle]
细纹焦黑石砖, tconstruct:seared[type=brick_small]
焦黑瓷砖, tconstruct:seared[type=tile]
冶炼炉控制器, tconstruct:smeltery_controller[active=false,facing=north]
焦黑储罐, tconstruct:seared_tank[has_knob=true,type=tank]
焦黑容器, tconstruct:seared_tank[has_knob=false,type=gauge]
焦黑视窗, tconstruct:seared_tank[has_knob=false,type=window]
浇注口, tconstruct:faucet[facing=up]
浇注道, tconstruct:channel[down=false,east=none,north=none,south=none,west=none]
浇铸台, tconstruct:casting[type=table]
铸造盆, tconstruct:casting[type=basin]
冶炼炉排液口, tconstruct:smeltery_io[facing=south,type=drain]
焦黑玻璃, tconstruct:seared_glass[connected_down=false,connected_east=false,connected_north=false,connected_south=false,connected_up=false,connected_west=false,type=glass]
焦黑熔炉控制器, tconstruct:seared_furnace_controller[active=false,facing=south]
工匠储罐控制器, tconstruct:tinker_tank_controller[active=false,facing=north]
焦黑石头台阶, tconstruct:seared_slab[half=bottom,type=stone]
焦黑圆石台阶, tconstruct:seared_slab[half=bottom,type=cobble]
焦黑盖板石台阶, tconstruct:seared_slab[half=bottom,type=paver]
焦黑石砖台阶, tconstruct:seared_slab[half=bottom,type=brick]
裂纹焦黑石砖台阶, tconstruct:seared_slab[half=bottom,type=brick_cracked]
平滑焦黑石砖台阶, tconstruct:seared_slab[half=bottom,type=brick_fancy]
錾制焦黑石砖台阶, tconstruct:seared_slab[half=bottom,type=brick_square]
焦黑铺路石台阶, tconstruct:seared_slab[half=bottom,type=road]
焦黑雕琢台阶, tconstruct:seared_slab2[half=bottom,type=creeper]
三角纹焦黑石砖台阶, tconstruct:seared_slab2[half=bottom,type=brick_triangle]
细纹焦黑石砖台阶, tconstruct:seared_slab2[half=bottom,type=brick_small]
焦黑瓷砖台阶, tconstruct:seared_slab2[half=bottom,type=tile]
焦黑石头楼梯, tconstruct:seared_stairs_stone[facing=east,half=bottom,shape=straight]
焦黑圆石楼梯, tconstruct:seared_stairs_cobble[facing=east,half=bottom,shape=straight]
焦黑盖板石楼梯, tconstruct:seared_stairs_paver[facing=east,half=bottom,shape=straight]
焦黑石砖楼梯, tconstruct:seared_stairs_brick[facing=east,half=bottom,shape=straight]
裂纹焦黑石砖楼梯, tconstruct:seared_stairs_brick_cracked[facing=east,half=bottom,shape=straight]
平滑焦黑石砖楼梯, tconstruct:seared_stairs_brick_fancy[facing=east,half=bottom,shape=straight]
錾制焦黑石砖楼梯, tconstruct:seared_stairs_brick_square[facing=east,half=bottom,shape=straight]
三角纹焦黑石砖楼梯, tconstruct:seared_stairs_brick_triangle[facing=east,half=bottom,shape=straight]
细纹焦黑石砖楼梯, tconstruct:seared_stairs_brick_small[facing=east,half=bottom,shape=straight]
焦黑铺路石楼梯, tconstruct:seared_stairs_road[facing=east,half=bottom,shape=straight]
焦黑瓷砖楼梯, tconstruct:seared_stairs_tile[facing=east,half=bottom,shape=straight]
焦黑雕琢楼梯, tconstruct:seared_stairs_creeper[facing=east,half=bottom,shape=straight]
石柄火把, tconstruct:stone_torch[facing=up]
石梯, tconstruct:stone_ladder[facing=north]
尖竹钉, tconstruct:punji[east=false,facing=down,north=false,northeast=false,northwest=false]
物品架, tconstruct:rack[drying=false,facing=down_x]
晾干架, tconstruct:rack[drying=true,facing=down_x]
木质轨道, tconstruct:wood_rail[shape=north_south]
带活板门的木质轨道, tconstruct:wood_rail_trapdoor[shape=north_south]
木漏斗, tconstruct:wooden_hopper[facing=down]
绿色史莱姆通道, tconstruct:slime_channel[connected=none,direction=north,powered=false,side=down,type=green]
蓝色史莱姆通道, tconstruct:slime_channel[connected=none,direction=north,powered=false,side=down,type=blue]
紫色史莱姆通道, tconstruct:slime_channel[connected=none,direction=north,powered=false,side=down,type=purple]
凝血通道, tconstruct:slime_channel[connected=none,direction=north,powered=false,side=down,type=blood]
熔岩史莱姆通道, tconstruct:slime_channel[connected=none,direction=north,powered=false,side=down,type=magma]
干燥粘土, tconstruct:dried_clay[type=clay]
干燥粘土砖, tconstruct:dried_clay[type=brick]
干燥粘土台阶, tconstruct:dried_clay_slab[half=bottom,type=clay]
干燥粘土砖台阶, tconstruct:dried_clay_slab[half=bottom,type=brick]
干燥粘土楼梯, tconstruct:dried_clay_stairs[facing=east,half=bottom,shape=straight]
干燥粘土砖楼梯, tconstruct:dried_brick_stairs[facing=east,half=bottom,shape=straight]
平滑褐岩块, tconstruct:brownstone[type=smooth]
粗质褐岩块, tconstruct:brownstone[type=rough]
褐岩盖板石, tconstruct:brownstone[type=paver]
褐岩石砖, tconstruct:brownstone[type=brick]
裂纹褐岩石砖, tconstruct:brownstone[type=brick_cracked]
平滑褐岩石砖, tconstruct:brownstone[type=brick_fancy]
錾制褐岩石砖, tconstruct:brownstone[type=brick_square]
褐岩铺路石, tconstruct:brownstone[type=road]
雕琢褐岩块, tconstruct:brownstone[type=creeper]
三角纹褐岩石砖, tconstruct:brownstone[type=brick_triangle]
细纹褐岩石砖, tconstruct:brownstone[type=brick_small]
褐岩瓷砖块, tconstruct:brownstone[type=tile]
平滑褐岩台阶, tconstruct:brownstone_slab[half=bottom,type=smooth]
粗质褐岩台阶, tconstruct:brownstone_slab[half=bottom,type=rough]
褐岩盖板石台阶, tconstruct:brownstone_slab[half=bottom,type=paver]
褐岩石砖台阶, tconstruct:brownstone_slab[half=bottom,type=brick]
裂纹褐岩石砖台阶, tconstruct:brownstone_slab[half=bottom,type=brick_cracked]
平滑褐岩石砖台阶, tconstruct:brownstone_slab[half=bottom,type=brick_fancy]
錾制褐岩石砖台阶, tconstruct:brownstone_slab[half=bottom,type=brick_square]
褐岩铺路石台阶, tconstruct:brownstone_slab[half=bottom,type=road]
褐岩雕琢台阶, tconstruct:brownstone_slab2[half=bottom,type=creeper]
三角纹褐岩石砖台阶, tconstruct:brownstone_slab2[half=bottom,type=brick_triangle]
细纹褐岩石砖台阶, tconstruct:brownstone_slab2[half=bottom,type=brick_small]
褐岩瓷砖台阶, tconstruct:brownstone_slab2[half=bottom,type=tile]
平滑褐岩楼梯, tconstruct:brownstone_stairs_smooth[facing=east,half=bottom,shape=straight]
粗质褐岩楼梯, tconstruct:brownstone_stairs_rough[facing=east,half=bottom,shape=straight]
褐岩盖板石楼梯, tconstruct:brownstone_stairs_paver[facing=east,half=bottom,shape=straight]
褐岩石砖楼梯, tconstruct:brownstone_stairs_brick[facing=east,half=bottom,shape=straight]
裂纹褐岩石砖楼梯, tconstruct:brownstone_stairs_brick_cracked[facing=east,half=bottom,shape=straight]
平滑褐岩石砖楼梯, tconstruct:brownstone_stairs_brick_fancy[facing=east,half=bottom,shape=straight]
錾制褐岩石砖楼梯, tconstruct:brownstone_stairs_brick_square[facing=east,half=bottom,shape=straight]
三角纹褐岩石砖楼梯, tconstruct:brownstone_stairs_brick_triangle[facing=east,half=bottom,shape=straight]
细纹褐岩石砖楼梯, tconstruct:brownstone_stairs_brick_small[facing=east,half=bottom,shape=straight]
褐岩铺路石楼梯, tconstruct:brownstone_stairs_road[facing=east,half=bottom,shape=straight]
褐岩瓷砖楼梯, tconstruct:brownstone_stairs_tile[facing=east,half=bottom,shape=straight]
褐岩雕琢楼梯, tconstruct:brownstone_stairs_creeper[facing=east,half=bottom,shape=straight]
空叶草方块, aether:aether_grass[snowy=false,variant=normal]
神沃空叶草方块, aether:aether_grass[snowy=false,variant=enchanted]
极寒草方块, aether:aether_grass[snowy=false,variant=arctic]
磁化草方块, aether:aether_grass[snowy=false,variant=magnetic]
辐光草方块, aether:aether_grass[snowy=false,variant=irradiated]
天壤, aether:aether_dirt[variant=dirt]
砂质天壤, aether:aether_dirt[variant=coarse_dirt]
速沙, aether:quicksoil
霏雪, aether:highlands_snow
霏雪, aether:highlands_snow_layer[layers=1]
穹冰, aether:highlands_ice
松浮穹冰, aether:highlands_packed_ice
磁沙, aether:ferrosite_sand
圣石, aether:holystone[variant=normal]
圣苔石, aether:holystone[variant=mossy]
神能矿石, aether:ambrosium_ore
冰原石, aether:icestone_ore
紫晶矿石, aether:zanite_ore
阿肯钢矿石, aether:arkenium_ore
重力矿石, aether:gravitite_ore
磁岩, aether:ferrosite
锈磁岩, aether:rusted_ferrosite
粗雾面玻璃, aether:crude_scatterglass
草绿境云, aether:aercloud[facing=north,variant=green]
风暴境云, aether:aercloud[facing=north,variant=storm]
天蓝境云, aether:aercloud[facing=north,variant=blue]
金黄境云, aether:aercloud[facing=north,variant=golden]
幻紫境云, aether:aercloud[facing=south,variant=purple]
寒风境云, aether:aercloud[facing=north,variant=cold]
天根木, aether:skyroot_log[axis=none]
天纤木, aether:light_skyroot_log[axis=none]
天硕木, aether:dark_skyroot_log[axis=none]
天根木墙, aether:skyroot_log_wall[east=true,is_generated=false,north=true,south=true,up=true,variant=cobblestone,west=true]
天纤木墙, aether:wisproot_log_wall[east=true,is_generated=false,north=true,south=true,up=true,variant=cobblestone,west=true]
天硕木墙, aether:greatroot_log_wall[east=true,is_generated=false,north=true,south=true,up=true,variant=cobblestone,west=true]
金琥珀木, aether:golden_oak_log[axis=none]
天根木枝条块, aether:woven_sticks[variant=skyroot]
空原灌木, aether:highlands_bush[check_decay=false,decayable=false]
绿天根树叶, aether:green_skyroot_leaves[check_decay=false,decayable=false]
蓝天根树叶, aether:blue_skyroot_leaves[check_decay=false,decayable=false]
深蓝天根树叶, aether:dark_blue_skyroot_leaves[check_decay=false,decayable=false]
绿天纤树叶, aether:green_light_skyroot_leaves[check_decay=false,decayable=false]
蓝天纤树叶, aether:blue_light_skyroot_leaves[check_decay=false,decayable=false]
深蓝天硕树叶, aether:dark_blue_light_skyroot_leaves[check_decay=false,decayable=false]
绿天硕树叶, aether:green_dark_skyroot_leaves[check_decay=false,decayable=false]
蓝天硕树叶, aether:blue_dark_skyroot_leaves[check_decay=false,decayable=false]
深蓝天硕树叶, aether:dark_blue_dark_skyroot_leaves[check_decay=false,decayable=false]
金琥珀树叶, aether:amberoot_leaves[check_decay=false,decayable=false]
变种树叶, aether:mutant_leaves[check_decay=false,decayable=false]
挂饰变种树叶, aether:mutant_leaves_decorated[check_decay=false,decayable=false]
蓝叶天根树苗, aether:skyroot_sapling[growth_stage=0,variant=blue_skyroot]
深蓝天根树苗, aether:skyroot_sapling[growth_stage=0,variant=dark_blue_skyroot]
绿叶天根树苗, aether:skyroot_sapling[growth_stage=0,variant=green_skyroot]
绿叶天纤树苗, aether:wisproot_sapling[growth_stage=0,variant=wisproot_green]
蓝叶天纤树苗, aether:wisproot_sapling[growth_stage=0,variant=wisproot_blue]
深蓝天纤树苗, aether:wisproot_sapling[growth_stage=0,variant=wisproot_dark_blue]
蓝叶天硕树苗, aether:greatroot_sapling[growth_stage=0,variant=blue_greatroot]
绿叶天硕树苗, aether:greatroot_sapling[growth_stage=0,variant=green_greatroot]
暗蓝天硕树苗, aether:greatroot_sapling[growth_stage=0,variant=dark_blue_greatroot]
爱迪生热情洋溢的节日变种树苗, aether:unique_sapling[growth_stage=0,variant=mutant_tree]
金琥珀树苗, aether:unique_sapling[growth_stage=0,variant=amberoot]
爆簇花, aether:aether_flower[snowy=false,variant=burstblossom]
幻紫花, aether:aether_flower[snowy=false,variant=purple_flower]
白玫瑰, aether:aether_flower[snowy=false,variant=white_rose]
箭毒花苗, aether:aether_flower[snowy=false,variant=aechor_sprout]
速绽花, aether:quickshoot[snowy=false]
粉尖儿花, aether:pink_swingtip[snowy=false]
绿尖儿花, aether:green_swingtip[snowy=false]
蓝尖儿花, aether:blue_swingtip[snowy=false]
永苞花, aether:neverbloom[snowy=false]
空原郁金香, aether:highlands_tulips[snowy=false]
极寒花穗, aether:arctic_spikespring[snowy=false]
辐光花, aether:irradiated_flower[snowy=false]
遗忘玫瑰, aether:forgotten_rose[snowy=false]
空叶草丛, aether:tall_aether_grass[snowy=false,type=highlands,variant=normal]
矮空叶草, aether:tall_aether_grass[snowy=false,type=highlands,variant=short]
高空叶草, aether:tall_aether_grass[snowy=false,type=highlands,variant=long]
顽石菇, aether:stoneshroom[snowy=false]
树皮菇, aether:barkshroom[snowy=false]
磁地蘑菇, aether:magnetic_shroom[snowy=false]
腴根, aether:plumproot
蓝莓灌木丛, aether:blueberry_bush[harvestable=false]
蓝莓灌木, aether:blueberry_bush[harvestable=true]
橙子树, aether:orange_tree[is_top_block=false,stage=1]
武神草丛, aether:valkyrie_grass[harvestable=true,variant=sprout]
武神草穗, aether:valkyrie_grass[harvestable=true,variant=full]
天根树枝, aether:skyroot_twigs
圣岩, aether:holystone_rock
凝冰结晶, aether:highlands_ice_crystal[variant=stalagmite]
天根木板, aether:skyroot_planks
天纤木板, aether:light_skyroot_planks
天硕木板, aether:dark_skyroot_planks
天根木栅栏, aether:skyroot_fence[east=false,north=false,south=false,west=false]
天纤木栅栏, aether:wisproot_fence[east=false,north=false,south=false,west=false]
天硕木栅栏, aether:greatroot_fence[east=false,north=false,south=false,west=false]
天根木栅栏门, aether:skyroot_fence_gate[facing=south,in_wall=false,open=false,powered=false]
天纤木栅栏门, aether:wisproot_fence_gate[facing=south,in_wall=false,open=false,powered=false]
天硕木栅栏门, aether:greatroot_fence_gate[facing=south,in_wall=false,open=false,powered=false]
圣石砖, aether:holystone_brick
天冶石, aether:agiosite
天冶砖, aether:agiosite_brick
冰砖, aether:icestone_bricks
卷云羊毛, aether:cloudwool_block
卷云地毯, aether:cloudwool_carpet
天根木书架, aether:skyroot_bookshelf
圣石书架, aether:holystone_bookshelf
粗雾面玻璃板, aether:crude_scatterglass_pane[east=false,north=false,south=false,west=false]
速沙玻璃, aether:quicksoil_glass
速沙玻璃板, aether:quicksoil_glass_pane[east=false,north=false,south=false,west=false]
雾面玻璃, aether:scatterglass
雾面玻璃板, aether:scatterglass_pane[east=false,north=false,south=false,west=false]
紫晶块, aether:zanite_block
重力晶块, aether:gravitite_block
天根木梯, aether:skyroot_ladder[facing=north]
天根木活板门, aether:skyroot_trapdoor[facing=north,half=bottom,open=false]
天根木按钮, aether:skyroot_button[facing=down,powered=false]
天纤木按钮, aether:wisproot_button[facing=down,powered=false]
天硕木按钮, aether:greatroot_button[facing=down,powered=false]
圣石按钮, aether:holystone_button[facing=down,powered=false]
天根木压力板, aether:skyroot_pressure_plate[powered=false]
天纤木压力板, aether:wisproot_pressure_plate[powered=false]
天硕木压力板, aether:greatroot_pressure_plate[powered=false]
圣石压力板, aether:holystone_pressure_plate[powered=false]
岗哨石砖, aether:sentrystone_brick
狱炎石砖, aether:hellfirestone_brick
神能火把, aether:ambrosium_torch[facing=up]
拐杖糖块, aether:candy_cane_block[axis=none]
圣石楼梯, aether:holystone_stairs[facing=east,half=bottom,shape=straight]
圣苔石楼梯, aether:mossy_holystone_stairs[facing=east,half=bottom,shape=straight]
天根木楼梯, aether:skyroot_stairs[facing=east,half=bottom,shape=straight]
天纤木楼梯, aether:wisproot_stairs[facing=east,half=bottom,shape=straight]
天硕木楼梯, aether:greatroot_stairs[facing=east,half=bottom,shape=straight]
圣石砖楼梯, aether:holystone_brick_stairs[facing=east,half=bottom,shape=straight]
天冶石楼梯, aether:agiosite_stairs[facing=east,half=bottom,shape=straight]
天冶砖楼梯, aether:agiosite_brick_stairs[facing=east,half=bottom,shape=straight]
冰砖楼梯, aether:icestone_brick_stairs[facing=east,half=bottom,shape=straight]
雾面玻璃楼楼梯, aether:scatterglass_stairs[facing=east,half=bottom,shape=straight]
岗哨石砖楼梯, aether:sentrystone_brick_stairs[facing=east,half=bottom,shape=straight]
狱炎石砖楼梯, aether:hellfirestone_brick_stairs[facing=east,half=bottom,shape=straight]
圣石台阶, aether:holystone_slab[state=bottom]
圣苔石台阶, aether:mossy_holystone_slab[state=bottom]
天根木台阶, aether:skyroot_slab[state=bottom]
天纤木台阶, aether:wisproot_slab[state=bottom]
天硕木台阶, aether:greatroot_slab[state=bottom]
圣石砖台阶, aether:holystone_brick_slab[state=bottom]
天冶石台阶, aether:agiosite_slab[state=bottom]
天冶砖台阶, aether:agiosite_brick_slab[state=bottom]
冰砖台阶, aether:icestone_slab[state=bottom]
雾面玻璃台阶, aether:scatterglass_slab[state=bottom]
岗哨石砖台阶, aether:sentrystone_brick_slab[state=bottom]
狱炎石砖台阶, aether:hellfirestone_brick_slab[state=bottom]
圣石墙, aether:holystone_wall[east=false,north=false,south=false,up=false,variant=cobblestone,west=false]
圣苔石墙, aether:mossy_holystone_wall[east=false,north=false,south=false,up=false,variant=cobblestone,west=false]
圣石砖墙, aether:holystone_brick_wall[east=false,north=false,south=false,up=false,variant=cobblestone,west=false]
天冶石墙, aether:agiosite_wall[east=false,north=false,south=false,up=false,variant=cobblestone,west=false]
天冶砖墙, aether:agiosite_brick_wall[east=false,north=false,south=false,up=false,variant=cobblestone,west=false]
冰砖墙, aether:icestone_wall[east=false,north=false,south=false,up=false,variant=cobblestone,west=false]
雾面玻璃墙, aether:scatterglass_wall[east=false,north=false,south=false,up=false,variant=cobblestone,west=false]
岗哨石砖墙, aether:sentrystone_brick_wall[east=false,north=false,south=false,up=false,variant=cobblestone,west=false]
狱炎石砖墙, aether:hellfirestone_brick_wall[east=false,north=false,south=false,up=false,variant=cobblestone,west=false]
拐杖糖墙, aether:candy_cane_wall[east=false,north=false,south=false,up=false,variant=cobblestone,west=false]
饰纹天根木板, aether:skyroot_decorative[variant=highlight]
饰纹天根木板, aether:skyroot_decorative[variant=tiles]
饰纹天根木板, aether:skyroot_decorative[variant=top_beam]
饰纹天根木板, aether:skyroot_decorative[variant=tiles_small]
饰纹天根木板, aether:skyroot_decorative[variant=base_planks]
饰纹天根木板, aether:skyroot_decorative[variant=floorboards]
饰纹天根木板, aether:skyroot_decorative[variant=base_beam]
饰纹天根木板, aether:skyroot_decorative[variant=top_planks]
天根木梁, aether:skyroot_beam[axis=y]
饰纹天纤木板, aether:light_skyroot_decorative[variant=highlight]
饰纹天纤木板, aether:light_skyroot_decorative[variant=tiles]
饰纹天纤木板, aether:light_skyroot_decorative[variant=top_beam]
饰纹天纤木板, aether:light_skyroot_decorative[variant=tiles_small]
饰纹天纤木板, aether:light_skyroot_decorative[variant=base_planks]
饰纹天纤木板, aether:light_skyroot_decorative[variant=floorboards]
饰纹天纤木板, aether:light_skyroot_decorative[variant=base_beam]
饰纹天纤木板, aether:light_skyroot_decorative[variant=top_planks]
天纤木梁, aether:light_skyroot_beam[axis=y]
饰纹天硕木板, aether:dark_skyroot_decorative[variant=highlight]
饰纹天硕木板, aether:dark_skyroot_decorative[variant=tiles]
饰纹天硕木板, aether:dark_skyroot_decorative[variant=top_beam]
饰纹天硕木板, aether:dark_skyroot_decorative[variant=tiles_small]
饰纹天硕木板, aether:dark_skyroot_decorative[variant=base_planks]
饰纹天硕木板, aether:dark_skyroot_decorative[variant=floorboards]
饰纹天硕木板, aether:dark_skyroot_decorative[variant=base_beam]
饰纹天硕木板, aether:dark_skyroot_decorative[variant=top_planks]
天硕木梁, aether:dark_skyroot_beam[axis=y]
饰纹圣石砖, aether:holystone_brick_decorative[variant=capstone_pillar]
饰纹圣石砖, aether:holystone_brick_decorative[variant=capstone_bricks]
饰纹圣石砖, aether:holystone_brick_decorative[variant=flagstones]
饰纹圣石砖, aether:holystone_brick_decorative[variant=base_pillar]
饰纹圣石砖, aether:holystone_brick_decorative[variant=base_bricks]
饰纹圣石砖, aether:holystone_brick_decorative[variant=headstone]
饰纹圣石砖, aether:holystone_brick_decorative[variant=keystone]
圣石砖柱, aether:holystone_pillar[axis=y]
风化圣石砖, aether:faded_holystone_brick
风化圣石砖楼梯, aether:faded_holystone_brick_stairs[facing=east,half=bottom,shape=straight]
风化圣石砖台阶, aether:faded_holystone_brick_slab[state=bottom]
风化圣石砖墙, aether:faded_holystone_brick_wall[east=false,north=false,south=false,up=false,variant=cobblestone,west=false]
饰纹风化圣石砖, aether:faded_holystone_brick_decorative[variant=capstone_pillar]
饰纹风化圣石砖, aether:faded_holystone_brick_decorative[variant=capstone_bricks]
饰纹风化圣石砖, aether:faded_holystone_brick_decorative[variant=flagstones]
饰纹风化圣石砖, aether:faded_holystone_brick_decorative[variant=base_pillar]
饰纹风化圣石砖, aether:faded_holystone_brick_decorative[variant=base_bricks]
饰纹风化圣石砖, aether:faded_holystone_brick_decorative[variant=headstone]
饰纹风化圣石砖, aether:faded_holystone_brick_decorative[variant=keystone]
风化圣石砖柱, aether:faded_holystone_pillar[axis=y]
饰纹天冶砖, aether:agiosite_brick_decorative[variant=capstone_pillar]
饰纹天冶砖, aether:agiosite_brick_decorative[variant=capstone_bricks]
饰纹天冶砖, aether:agiosite_brick_decorative[variant=flagstones]
饰纹天冶砖, aether:agiosite_brick_decorative[variant=base_pillar]
饰纹天冶砖, aether:agiosite_brick_decorative[variant=base_bricks]
饰纹天冶砖, aether:agiosite_brick_decorative[variant=keystone]
天冶砖柱, aether:agiosite_pillar[axis=y]
饰纹冰砖, aether:icestone_bricks_decorative[variant=capstone_pillar]
饰纹冰砖, aether:icestone_bricks_decorative[variant=capstone_bricks]
饰纹冰砖, aether:icestone_bricks_decorative[variant=flagstones]
饰纹冰砖, aether:icestone_bricks_decorative[variant=base_pillar]
饰纹冰砖, aether:icestone_bricks_decorative[variant=base_bricks]
饰纹冰砖, aether:icestone_bricks_decorative[variant=keystone]
冰砖柱, aether:icestone_pillar[axis=y]
镶框粗雾面玻璃, aether:crude_scatterglass_decorative[variant=arkenium_frame]
镶框粗雾面玻璃, aether:crude_scatterglass_decorative[variant=skyroot_frame]
镶框粗雾面玻璃板, aether:crude_scatterglass_pane_decorative[east=false,north=false,south=false,variant=arkenium_frame,west=false]
镶框粗雾面玻璃板, aether:crude_scatterglass_pane_decorative[east=false,north=false,south=false,variant=skyroot_frame,west=false]
镶框速沙玻璃, aether:quicksoil_glass_decorative[variant=arkenium_frame]
镶框速沙玻璃, aether:quicksoil_glass_decorative[variant=skyroot_frame]
镶框速沙玻璃板, aether:quicksoil_glass_pane_decorative[east=false,north=false,south=false,variant=arkenium_frame,west=false]
镶框速沙玻璃板, aether:quicksoil_glass_pane_decorative[east=false,north=false,south=false,variant=skyroot_frame,west=false]
镶框雾面玻璃, aether:scatterglass_decorative[variant=arkenium_frame]
镶框雾面玻璃, aether:scatterglass_decorative[variant=skyroot_frame]
镶框雾面玻璃板, aether:scatterglass_pane_decorative[east=false,north=false,south=false,variant=arkenium_frame,west=false]
镶框雾面玻璃板, aether:scatterglass_pane_decorative[east=false,north=false,south=false,variant=skyroot_frame,west=false]
饰纹岗哨石砖, aether:sentrystone_brick_decorative[variant=capstone_pillar]
饰纹岗哨石砖, aether:sentrystone_brick_decorative[variant=capstone_bricks]
饰纹岗哨石砖, aether:sentrystone_brick_decorative[variant=flagstones]
饰纹岗哨石砖, aether:sentrystone_brick_decorative[variant=lightstone]
饰纹岗哨石砖, aether:sentrystone_brick_decorative[variant=base_pillar]
饰纹岗哨石砖, aether:sentrystone_brick_decorative[variant=base_bricks]
饰纹岗哨石砖, aether:sentrystone_brick_decorative[variant=keystone]
岗哨石柱, aether:sentrystone_pillar[axis=y]
饰纹亮岗哨石砖, aether:sentrystone_brick_decorative_lit[variant=capstone_pillar]
饰纹亮岗哨石砖, aether:sentrystone_brick_decorative_lit[variant=capstone_bricks]
饰纹亮岗哨石砖, aether:sentrystone_brick_decorative_lit[variant=lightstone]
