RegistryName, UnlocalizedName, LocalizedName(if exist)
grimoireofgaia:spawner_gorgon, entity.grimoireofgaia.spawner_gorgon.name, entity.grimoireofgaia.spawner_gorgon.name
grimoireofgaia:spawner_minotaur, entity.grimoireofgaia.spawner_minotaur.name, entity.grimoireofgaia.spawner_minotaur.name
grimoireofgaia:spawner_sphinx, entity.grimoireofgaia.spawner_sphinx.name, entity.grimoireofgaia.spawner_sphinx.name
grimoireofgaia:spawner_valkyrie, entity.grimoireofgaia.spawner_valkyrie.name, entity.grimoireofgaia.spawner_valkyrie.name
grimoireofgaia:spawner_vampire, entity.grimoireofgaia.spawner_vampire.name, entity.grimoireofgaia.spawner_vampire.name
grimoireofgaia:bomb, entity.grimoireofgaia.bomb.name, entity.grimoireofgaia.bomb.name
grimoireofgaia:bubble, entity.grimoireofgaia.bubble.name, entity.grimoireofgaia.bubble.name
grimoireofgaia:magic, entity.grimoireofgaia.magic.name, entity.grimoireofgaia.magic.name
grimoireofgaia:magic_random, entity.grimoireofgaia.magic_random.name, entity.grimoireofgaia.magic_random.name
grimoireofgaia:poison, entity.grimoireofgaia.poison.name, entity.grimoireofgaia.poison.name
grimoireofgaia:small_fireball, entity.grimoireofgaia.small_fireball.name, entity.grimoireofgaia.small_fireball.name
grimoireofgaia:web, entity.grimoireofgaia.web.name, entity.grimoireofgaia.web.name
grimoireofgaia:debug_mob, entity.grimoireofgaia.debug_mob.name, 调试用怪物
grimoireofgaia:ant, entity.grimoireofgaia.ant.name, 工蚁
grimoireofgaia:ant_hill, entity.grimoireofgaia.ant_hill.name, 蚁丘
grimoireofgaia:ant_ranger, entity.grimoireofgaia.ant_ranger.name, 救援蚁
grimoireofgaia:anubis, entity.grimoireofgaia.anubis.name, 阿努比斯
grimoireofgaia:arachne, entity.grimoireofgaia.arachne.name, 蛛后
grimoireofgaia:banshee, entity.grimoireofgaia.banshee.name, 女妖
grimoireofgaia:baphomet, entity.grimoireofgaia.baphomet.name, 巴弗灭
grimoireofgaia:bee, entity.grimoireofgaia.bee.name, 蜜蜂
grimoireofgaia:beholder, entity.grimoireofgaia.beholder.name, 末影眼魔
grimoireofgaia:bone_knight, entity.grimoireofgaia.bone_knight.name, 骷髅骑士
grimoireofgaia:butler, entity.grimoireofgaia.butler.name, 血族管家
grimoireofgaia:campfire, entity.grimoireofgaia.campfire.name, 营地
grimoireofgaia:cecaelia, entity.grimoireofgaia.cecaelia.name, 海女巫
grimoireofgaia:centaur, entity.grimoireofgaia.centaur.name, 半人马
grimoireofgaia:chest, entity.grimoireofgaia.chest.name, 宝箱怪
grimoireofgaia:cobble_golem, entity.grimoireofgaia.cobble_golem.name, 石傀儡
grimoireofgaia:cobblestone_golem, entity.grimoireofgaia.cobblestone_golem.name, 石魔像
grimoireofgaia:creep, entity.grimoireofgaia.creep.name, 爬行者球
grimoireofgaia:cyan_flower, entity.grimoireofgaia.cyan_flower.name, 青花
grimoireofgaia:deathword, entity.grimoireofgaia.deathword.name, 死亡魔书
grimoireofgaia:dhampir, entity.grimoireofgaia.dhampir.name, 血仆
grimoireofgaia:dryad, entity.grimoireofgaia.dryad.name, 树妖
grimoireofgaia:dullahan, entity.grimoireofgaia.dullahan.name, 无头骑士
grimoireofgaia:dwarf, entity.grimoireofgaia.dwarf.name, 矮人
grimoireofgaia:ender_dragon_girl, entity.grimoireofgaia.ender_dragon_girl.name, 末影龙女
grimoireofgaia:ender_eye, entity.grimoireofgaia.ender_eye.name, 末影之眼
grimoireofgaia:flesh_lich, entity.grimoireofgaia.flesh_lich.name, 僵尸巫妖
grimoireofgaia:gelatinous_slime, entity.grimoireofgaia.gelatinous_slime.name, 凝胶史莱姆
grimoireofgaia:goblin, entity.grimoireofgaia.goblin.name, 哥布林
grimoireofgaia:goblin_feral, entity.grimoireofgaia.goblin_feral.name, 野蛮哥布林
grimoireofgaia:mite, entity.grimoireofgaia.mite.name, 墓螨
grimoireofgaia:gryphon, entity.grimoireofgaia.gryphon.name, 狮鹫
grimoireofgaia:harpy, entity.grimoireofgaia.harpy.name, 鹰身女妖
grimoireofgaia:harpy_wizard, entity.grimoireofgaia.harpy_wizard.name, 鹰身女术士
grimoireofgaia:horse, entity.grimoireofgaia.horse.name, 野马
grimoireofgaia:hunter, entity.grimoireofgaia.hunter.name, 猎魔人
grimoireofgaia:illager_fire, entity.grimoireofgaia.illager_fire.name, 焚化兵
grimoireofgaia:illager_inquisitor, entity.grimoireofgaia.illager_inquisitor.name, 审判官
grimoireofgaia:kikimora, entity.grimoireofgaia.kikimora.name, 奇奇莫拉
grimoireofgaia:kobold, entity.grimoireofgaia.kobold.name, 地精
grimoireofgaia:matango, entity.grimoireofgaia.matango.name, 蘑菇仙子
grimoireofgaia:mermaid, entity.grimoireofgaia.mermaid.name, 鲛人
grimoireofgaia:minotaur, entity.grimoireofgaia.minotaur.name, 牛魔
grimoireofgaia:minotaurus, entity.grimoireofgaia.minotaurus.name, 米诺陶诺斯
grimoireofgaia:cyclops, entity.grimoireofgaia.cyclops.name, 独眼巨人
grimoireofgaia:mummy, entity.grimoireofgaia.mummy.name, 木乃伊
grimoireofgaia:naga, entity.grimoireofgaia.naga.name, 娜迦
grimoireofgaia:nine_tails, entity.grimoireofgaia.nine_tails.name, 玉藻前
grimoireofgaia:oni, entity.grimoireofgaia.oni.name, 鬼
grimoireofgaia:orc, entity.grimoireofgaia.orc.name, 兽人
grimoireofgaia:satyress, entity.grimoireofgaia.satyress.name, 半羊人
grimoireofgaia:selkie, entity.grimoireofgaia.selkie.name, 海豹人
grimoireofgaia:shaman, entity.grimoireofgaia.shaman.name, 萨满
grimoireofgaia:sharko, entity.grimoireofgaia.sharko.name, 鲨鱼人
grimoireofgaia:siren, entity.grimoireofgaia.siren.name, 塞壬
grimoireofgaia:sludge_girl, entity.grimoireofgaia.sludge_girl.name, 淤泥少女
grimoireofgaia:sphinx, entity.grimoireofgaia.sphinx.name, 斯芬克斯
grimoireofgaia:spriggan, entity.grimoireofgaia.spriggan.name, 树精
grimoireofgaia:sporeling, entity.grimoireofgaia.sporeling.name, 真菌人
grimoireofgaia:succubus, entity.grimoireofgaia.succubus.name, 魅魔
grimoireofgaia:toad, entity.grimoireofgaia.toad.name, 蛙人
grimoireofgaia:valkyrie, entity.grimoireofgaia.valkyrie.name, 女武神
grimoireofgaia:vase, entity.grimoireofgaia.vase.name, 古老的花瓶
grimoireofgaia:vase_nether, entity.grimoireofgaia.vase_nether.name, 古老的花瓶（下界）
grimoireofgaia:vampire, entity.grimoireofgaia.vampire.name, 吸血鬼
grimoireofgaia:werecat, entity.grimoireofgaia.werecat.name, 猫妖
grimoireofgaia:witch, entity.grimoireofgaia.witch.name, 魔女
grimoireofgaia:wither_cow, entity.grimoireofgaia.wither_cow.name, 凋零牛
grimoireofgaia:yeti, entity.grimoireofgaia.yeti.name, 雪山野人
grimoireofgaia:yuki-onna, entity.grimoireofgaia.yuki-onna.name, 雪女
iceandfire:dragonegg, entity.dragonegg.name, 龙蛋
iceandfire:dragonarrow, entity.dragonarrow.name, 龙骨箭
iceandfire:dragonskull, entity.dragonskull.name, 飞龙颅骨
iceandfire:firedragon, entity.firedragon.name, 火龙
iceandfire:icedragon, entity.icedragon.name, 冰龙
iceandfire:dragonfirecharge, entity.dragonfirecharge.name, 龙炎弹
iceandfire:dragonicecharge, entity.dragonicecharge.name, 龙霜弹
iceandfire:snowvillager, entity.snowvillager.name, 雪地村民
iceandfire:hippogryphegg, entity.hippogryphegg.name, entity.hippogryphegg.name
iceandfire:hippogryph, entity.hippogryph.name, 骏鹰
iceandfire:stonestatue, entity.stonestatue.name, 石像
iceandfire:gorgon, entity.gorgon.name, 蛇发女妖
iceandfire:if_pixie, entity.if_pixie.name, 小精灵
iceandfire:cyclops, entity.cyclops.name, 独眼巨人
iceandfire:siren, entity.siren.name, 塞壬
iceandfire:hippocampus, entity.hippocampus.name, 海马
iceandfire:deathworm, entity.deathworm.name, 死亡蠕虫
iceandfire:deathwormegg, entity.deathwormegg.name, 死亡蠕虫卵
iceandfire:if_cockatrice, entity.if_cockatrice.name, 鸡蛇
iceandfire:if_cockatriceegg, entity.if_cockatriceegg.name, 鸡蛇蛋
iceandfire:stymphalianbird, entity.stymphalianbird.name, 铜羽泽鹗
iceandfire:stymphalianfeather, entity.stymphalianfeather.name, 青铜鹗羽
iceandfire:stymphalianarrow, entity.stymphalianarrow.name, 铜鹗羽箭
iceandfire:if_troll, entity.if_troll.name, 食人妖
iceandfire:myrmex_worker, entity.myrmex_worker.name, 恐蚁劳工
iceandfire:myrmex_soldier, entity.myrmex_soldier.name, 恐蚁军士
iceandfire:myrmex_sentinel, entity.myrmex_sentinel.name, 恐蚁斥候
iceandfire:myrmex_royal, entity.myrmex_royal.name, 恐蚁皇族
iceandfire:myrmex_queen, entity.myrmex_queen.name, 恐蚁女皇
iceandfire:myrmex_egg, entity.myrmex_egg.name, 恐蚁蛋
iceandfire:amphithere, entity.amphithere.name, 翼蚺
iceandfire:amphitherearrow, entity.amphitherearrow.name, entity.amphitherearrow.name
iceandfire:seaserpent, entity.seaserpent.name, 海蟒
iceandfire:seaserpentbubble, entity.seaserpentbubble.name, entity.seaserpentbubble.name
iceandfire:seaserpentarrow, entity.seaserpentarrow.name, entity.seaserpentarrow.name
iceandfire:chaintie, entity.chaintie.name, 铁链
iceandfire:pixiecharge, entity.pixiecharge.name, 精灵法杖射线
iceandfire:myrmex_swarmer, entity.myrmex_swarmer.name, 恐蜂蚁
iceandfire:tide_trident, entity.tide_trident.name, 海潮三叉戟
iceandfire:if_mob_skull, entity.if_mob_skull.name, 颅骨
iceandfire:dread_thrall, entity.dread_thrall.name, 悚怖尸奴
iceandfire:dread_ghoul, entity.dread_ghoul.name, 悚怖食尸鬼
iceandfire:dread_beast, entity.dread_beast.name, 悚怖尸兽
iceandfire:dread_scuttler, entity.dread_scuttler.name, 悚怖劫蛛
iceandfire:dread_lich, entity.dread_lich.name, 悚怖尸巫
iceandfire:dread_lich_skull, entity.dread_lich_skull.name, 冰魂髑髅
iceandfire:dread_knight, entity.dread_knight.name, 悚怖尸骑
iceandfire:dread_horse, entity.dread_horse.name, 悚怖战马
iceandfire:if_hydra, entity.if_hydra.name, 九头蛇
iceandfire:hydra_breath, entity.hydra_breath.name, 九头蛇吐息
iceandfire:hydra_arrow, entity.hydra_arrow.name, 九头蛇毒箭
mowziesmobs:foliaath, entity.foliaath.name, 巨噬叶
mowziesmobs:baby_foliaath, entity.baby_foliaath.name, 巨噬叶幼苗
mowziesmobs:ferrous_wroughtnaut, entity.ferrous_wroughtnaut.name, 钢铁守护者
mowziesmobs:barakoan_barakoana, entity.barakoan_barakoana.name, 游猎原始人
mowziesmobs:barakoana, entity.barakoana.name, 游猎原始人首领
mowziesmobs:barakoaya, entity.barakoaya.name, 聚居原始人
mowziesmobs:barakoan_player, entity.barakoan_player.name, 仆从原始人
mowziesmobs:barako, entity.barako.name, 太阳酋长
mowziesmobs:frostmaw, entity.frostmaw.name, 冰霜巨口
mowziesmobs:grottol, entity.grottol.name, 钻石居蟹
mowziesmobs:lantern, entity.lantern.name, 鬼灯笼
mowziesmobs:naga, entity.naga.name, 飞蛇纳迦
mowziesmobs:sunstrike, entity.sunstrike.name, entity.sunstrike.name
mowziesmobs:solar_beam, entity.solar_beam.name, entity.solar_beam.name
mowziesmobs:boulder, entity.boulder.name, 漂砾
mowziesmobs:axe_attack, entity.axe_attack.name, entity.axe_attack.name
mowziesmobs:icebreath, entity.icebreath.name, entity.icebreath.name
mowziesmobs:ice_ball, entity.ice_ball.name, 冰结球
mowziesmobs:frozen_controller, entity.frozen_controller.name, entity.frozen_controller.name
mowziesmobs:ring, entity.ring.name, entity.ring.name
mowziesmobs:dart, entity.dart.name, entity.dart.name
mowziesmobs:poison_ball, entity.poison_ball.name, entity.poison_ball.name
mowziesmobs:super_nova, entity.super_nova.name, entity.super_nova.name
mowziesmobs:block_swapper, entity.block_swapper.name, entity.block_swapper.name
thaumicaugmentation:dimensional_fracture, entity.thaumicaugmentation.dimensional_fracture.name, 维度裂缝
thaumicaugmentation:item_rift_jar, entity.thaumicaugmentation.item_rift_jar.name, entity.thaumicaugmentation.item_rift_jar.name
thaumicaugmentation:item_indestructible, entity.thaumicaugmentation.item_rift_jar.name, entity.thaumicaugmentation.item_rift_jar.name
thaumicaugmentation:shield_focus, entity.thaumicaugmentation.shield_focus.name, 虚空护盾
thaumicaugmentation:autocaster, entity.thaumicaugmentation.autocaster.name, 施法器
thaumicaugmentation:autocaster_eldritch, entity.thaumicaugmentation.autocaster_eldritch.name, 邪术施法器
thaumicaugmentation:eldritch_guardian, entity.thaumicaugmentation.eldritch_guardian.name, 邪术守卫
thaumicaugmentation:eldritch_warden, entity.thaumicaugmentation.eldritch_warden.name, 邪术典狱官
thaumicaugmentation:primal_wisp, entity.thaumicaugmentation.primal_wisp.name, 元始精灵
thaumicaugmentation:eldritch_golem, entity.thaumicaugmentation.eldritch_golem.name, 邪术构装体
thaumicaugmentation:golem_orb, entity.thaumicaugmentation.golem_orb.name, 能量球
thaumicperiphery:magic_arrow, entity.magic_arrow.name, entity.magic_arrow.name
thaumicwonders:flying_carpet, entity.flying_carpet.name, 飞毯
thaumicwonders:void_portal, entity.void_portal.name, 虚空传送门
thaumicwonders:hexamite_primed, entity.hexamite_primed.name, 乌洛托品（魔法版01型）
thaumicwonders:primal_arrow, entity.primal_arrow.name, entity.primal_arrow.name
thaumicwonders:corruption_avatar, entity.corruption_avatar.name, 腐化之尸
thaumicwonders:flux_fireball, entity.flux_fireball.name, entity.flux_fireball.name
vampirism:blinding_bat, entity.vampirism.blinding_bat.name, 蝙蝠
vampirism:ghost, entity.vampirism.ghost.name, 鬼魂
vampirism:converted_creature, entity.vampirism.converted_creature.name, entity.vampirism.converted_creature.name
vampirism:converted_sheep, entity.vampirism.converted_sheep.name, entity.vampirism.converted_sheep.name
vampirism:vampire_hunter, entity.vampirism.vampire_hunter.name, 吸血鬼猎人
vampirism:vampire, entity.vampirism.vampire.name, 吸血鬼
vampirism:hunter_trainer, entity.vampirism.hunter_trainer.name, 吸血鬼猎人教官
vampirism:advanced_hunter, entity.vampirism.advanced_hunter.name, 高阶猎人
vampirism:vampire_baron, entity.vampirism.vampire_baron.name, 吸血鬼伯爵
vampirism:vampire_minion_s, entity.vampirism.vampire_minion_s.name, 吸血鬼仆从
vampirism:dummy_creature, entity.vampirism.dummy_creature.name, entity.vampirism.dummy_creature.name
vampirism:advanced_vampire, entity.vampirism.advanced_vampire.name, 高阶吸血鬼
vampirism:villager_converted, entity.vampirism.villager_converted.name, 吸血鬼村民
vampirism:villager_angry, entity.vampirism.villager_angry.name, 愤怒的村民
vampirism:crossbow_arrow, entity.vampirism.crossbow_arrow.name, entity.vampirism.crossbow_arrow.name
vampirism:particle_cloud, entity.vampirism.particle_cloud.name, entity.vampirism.particle_cloud.name
vampirism:throwable_item, entity.vampirism.throwable_item.name, entity.vampirism.throwable_item.name
vampirism:special_dracula_halloween, entity.vampirism.special_dracula_halloween.name, entity.vampirism.special_dracula_halloween.name
vampirism:dark_blood_projectile, entity.vampirism.dark_blood_projectile.name, entity.vampirism.dark_blood_projectile.name
vampirism:soul_orb, entity.vampirism.soul_orb.name, entity.vampirism.soul_orb.name
vampirism:villager_hunter_faction, entity.vampirism.villager_hunter_faction.name, 猎人专家
vampirism:villager_vampire_faction, entity.vampirism.villager_vampire_faction.name, 吸血鬼专家
vampirism:hunter_trainer_dummy, entity.vampirism.hunter_trainer_dummy.name, 卧底猎人教官
vampirism:converted_horse, entity.vampirism.converted_horse.name, entity.vampirism.converted_horse.name
minecraft:lightning_bolt, entity.null.name, entity.null.name
#output time is 7 ms.
