RegistryName, LocalizedName(if exist), ParentAdvancementLocalizedName
minecraft:recipes/building_blocks/yellow_wool, minecraft:recipes/building_blocks/yellow_wool, minecraft:recipes/root
iceandfire:iceandfire/kill_sea_serpent, iceandfire:iceandfire/kill_sea_serpent, iceandfire:iceandfire/bestiary
minecraft:recipes/building_blocks/prismarine_bricks, minecraft:recipes/building_blocks/prismarine_bricks, minecraft:recipes/root
thebetweenlands:adventurer/santa_wight, thebetweenlands:adventurer/santa_wight, thebetweenlands:adventurer/winter_is_coming
minecraft:recipes/redstone/noteblock, minecraft:recipes/redstone/noteblock, minecraft:recipes/root
minecraft:recipes/decorations/light_blue_bed_from_white_bed, minecraft:recipes/decorations/light_blue_bed_from_white_bed, minecraft:recipes/root
minecraft:recipes/building_blocks/red_concrete_powder, minecraft:recipes/building_blocks/red_concrete_powder, minecraft:recipes/root
minecraft:adventure/kill_a_mob, minecraft:adventure/kill_a_mob, minecraft:adventure/root
minecraft:recipes/tools/golden_pickaxe, minecraft:recipes/tools/golden_pickaxe, minecraft:recipes/root
minecraft:recipes/redstone/sticky_piston, minecraft:recipes/redstone/sticky_piston, minecraft:recipes/root
minecraft:recipes/decorations/green_carpet, minecraft:recipes/decorations/green_carpet, minecraft:recipes/root
minecraft:recipes/brewing/magma_cream, minecraft:recipes/brewing/magma_cream, minecraft:recipes/root
minecraft:recipes/misc/gray_dye, minecraft:recipes/misc/gray_dye, minecraft:recipes/root
minecraft:adventure/adventuring_time, minecraft:adventure/adventuring_time, minecraft:adventure/sleep_in_bed
iceandfire:iceandfire/kill_hydra, iceandfire:iceandfire/kill_hydra, iceandfire:iceandfire/bestiary
minecraft:recipes/misc/book, minecraft:recipes/misc/book, minecraft:recipes/root
minecraft:recipes/decorations/purple_bed_from_white_bed, minecraft:recipes/decorations/purple_bed_from_white_bed, minecraft:recipes/root
minecraft:recipes/building_blocks/birch_wooden_slab, minecraft:recipes/building_blocks/birch_wooden_slab, minecraft:recipes/root
minecraft:recipes/building_blocks/purpur_slab, minecraft:recipes/building_blocks/purpur_slab, minecraft:recipes/root
iceandfire:iceandfire/kill_stymphalian_bird, iceandfire:iceandfire/kill_stymphalian_bird, iceandfire:iceandfire/bestiary
vampirism:hunter/technology, vampirism:hunter/technology, vampirism:hunter/become_hunter
minecraft:nether/brew_potion, minecraft:nether/brew_potion, minecraft:nether/obtain_blaze_rod
minecraft:recipes/decorations/light_gray_carpet, minecraft:recipes/decorations/light_gray_carpet, minecraft:recipes/root
minecraft:recipes/combat/stone_sword, minecraft:recipes/combat/stone_sword, minecraft:recipes/root
thebetweenlands:adventurer/pothead, thebetweenlands:adventurer/pothead, thebetweenlands:adventurer/dank_world
minecraft:recipes/decorations/cobblestone_wall, minecraft:recipes/decorations/cobblestone_wall, minecraft:recipes/root
minecraft:recipes/decorations/magenta_banner, minecraft:recipes/decorations/magenta_banner, minecraft:recipes/root
minecraft:recipes/decorations/light_blue_banner, minecraft:recipes/decorations/light_blue_banner, minecraft:recipes/root
minecraft:recipes/decorations/purple_carpet, minecraft:recipes/decorations/purple_carpet, minecraft:recipes/root
minecraft:recipes/brewing/fermented_spider_eye, minecraft:recipes/brewing/fermented_spider_eye, minecraft:recipes/root
thebetweenlands:craftsman/all_over_again, thebetweenlands:craftsman/all_over_again, thebetweenlands:craftsman/getting_harder_wood
minecraft:recipes/tools/stone_pickaxe, minecraft:recipes/tools/stone_pickaxe, minecraft:recipes/root
thebetweenlands:fighter/arrow_arsenal, thebetweenlands:fighter/arrow_arsenal, thebetweenlands:fighter/serious_business
minecraft:recipes/building_blocks/orange_stained_hardened_clay, minecraft:recipes/building_blocks/orange_stained_hardened_clay, minecraft:recipes/root
minecraft:recipes/redstone/stone_pressure_plate, minecraft:recipes/redstone/stone_pressure_plate, minecraft:recipes/root
minecraft:recipes/building_blocks/brown_stained_glass, minecraft:recipes/building_blocks/brown_stained_glass, minecraft:recipes/root
minecraft:husbandry/plant_seed, minecraft:husbandry/plant_seed, minecraft:husbandry/root
minecraft:recipes/transportation/boat, minecraft:recipes/transportation/boat, minecraft:recipes/root
minecraft:recipes/misc/purple_dye, minecraft:recipes/misc/purple_dye, minecraft:recipes/root
minecraft:recipes/combat/leather_boots, minecraft:recipes/combat/leather_boots, minecraft:recipes/root
minecraft:recipes/misc/red_dye_from_tulip, minecraft:recipes/misc/red_dye_from_tulip, minecraft:recipes/root
thebetweenlands:fighter/not_a_boss, thebetweenlands:fighter/not_a_boss, thebetweenlands:fighter/secret_of_the_crypt
minecraft:recipes/building_blocks/brown_stained_hardened_clay, minecraft:recipes/building_blocks/brown_stained_hardened_clay, minecraft:recipes/root
minecraft:recipes/misc/orange_dye_from_orange_tulip, minecraft:recipes/misc/orange_dye_from_orange_tulip, minecraft:recipes/root
thebetweenlands:miner/new_shinies, thebetweenlands:miner/new_shinies, thebetweenlands:miner/advanced_darkness
minecraft:recipes/decorations/brown_carpet, minecraft:recipes/decorations/brown_carpet, minecraft:recipes/root
minecraft:recipes/building_blocks/light_gray_stained_glass, minecraft:recipes/building_blocks/light_gray_stained_glass, minecraft:recipes/root
minecraft:end/dragon_egg, minecraft:end/dragon_egg, minecraft:end/kill_dragon
minecraft:recipes/building_blocks/diamond_block, minecraft:recipes/building_blocks/diamond_block, minecraft:recipes/root
iceandfire:iceandfire/tame_amphithere, iceandfire:iceandfire/tame_amphithere, iceandfire:iceandfire/bestiary
minecraft:recipes/decorations/red_stained_glass_pane, minecraft:recipes/decorations/red_stained_glass_pane, minecraft:recipes/root
minecraft:recipes/decorations/purple_shulker_box, minecraft:recipes/decorations/purple_shulker_box, minecraft:recipes/root
minecraft:recipes/decorations/flower_pot, minecraft:recipes/decorations/flower_pot, minecraft:recipes/root
minecraft:recipes/building_blocks/lapis_block, minecraft:recipes/building_blocks/lapis_block, minecraft:recipes/root
minecraft:recipes/decorations/yellow_carpet, minecraft:recipes/decorations/yellow_carpet, minecraft:recipes/root
minecraft:recipes/building_blocks/brick_slab, minecraft:recipes/building_blocks/brick_slab, minecraft:recipes/root
abyssalcraft:mine_abyssal_ores, abyssalcraft:mine_abyssal_ores, abyssalcraft:mine_abyssal_coralium
minecraft:recipes/transportation/tnt_minecart, minecraft:recipes/transportation/tnt_minecart, minecraft:recipes/root
thebetweenlands:adventurer/a_real_poopy_experience, thebetweenlands:adventurer/a_real_poopy_experience, thebetweenlands:adventurer/light_the_braziers
minecraft:recipes/building_blocks/melon_block, minecraft:recipes/building_blocks/melon_block, minecraft:recipes/root
thebetweenlands:herbalist/a_kind_heart, thebetweenlands:herbalist/a_kind_heart, thebetweenlands:herbalist/screw_peta
thebetweenlands:fighter/hag_hater, thebetweenlands:fighter/hag_hater, thebetweenlands:fighter/chopping_boy
thebetweenlands:farmer/now_kiss, thebetweenlands:farmer/now_kiss, thebetweenlands:farmer/root
minecraft:recipes/food/cookie, minecraft:recipes/food/cookie, minecraft:recipes/root
minecraft:recipes/building_blocks/prismarine, minecraft:recipes/building_blocks/prismarine, minecraft:recipes/root
minecraft:recipes/misc/diamond, minecraft:recipes/misc/diamond, minecraft:recipes/root
minecraft:recipes/misc/bone_meal_from_block, minecraft:recipes/misc/bone_meal_from_block, minecraft:recipes/root
minecraft:recipes/building_blocks/polished_diorite, minecraft:recipes/building_blocks/polished_diorite, minecraft:recipes/root
thebetweenlands:craftsman/freebies, thebetweenlands:craftsman/freebies, thebetweenlands:craftsman/efficiency
minecraft:recipes/building_blocks/light_gray_wool, minecraft:recipes/building_blocks/light_gray_wool, minecraft:recipes/root
minecraft:recipes/decorations/red_bed_from_white_bed, minecraft:recipes/decorations/red_bed_from_white_bed, minecraft:recipes/root
minecraft:recipes/building_blocks/purple_stained_hardened_clay, minecraft:recipes/building_blocks/purple_stained_hardened_clay, minecraft:recipes/root
minecraft:recipes/misc/light_gray_dye_from_oxeye_daisy, minecraft:recipes/misc/light_gray_dye_from_oxeye_daisy, minecraft:recipes/root
minecraft:recipes/building_blocks/red_wool, minecraft:recipes/building_blocks/red_wool, minecraft:recipes/root
minecraft:recipes/building_blocks/acacia_stairs, minecraft:recipes/building_blocks/acacia_stairs, minecraft:recipes/root
minecraft:recipes/misc/orange_dye_from_red_yellow, minecraft:recipes/misc/orange_dye_from_red_yellow, minecraft:recipes/root
iceandfire:iceandfire/lectern, iceandfire:iceandfire/lectern, iceandfire:iceandfire/bestiary
minecraft:recipes/tools/stone_axe, minecraft:recipes/tools/stone_axe, minecraft:recipes/root
thebetweenlands:farmer/flower_power, thebetweenlands:farmer/flower_power, thebetweenlands:farmer/mr_compost
minecraft:recipes/misc/fire_charge, minecraft:recipes/misc/fire_charge, minecraft:recipes/root
minecraft:recipes/decorations/blue_banner, minecraft:recipes/decorations/blue_banner, minecraft:recipes/root
thebetweenlands:adventurer/enter_the_stronghold, thebetweenlands:adventurer/enter_the_stronghold, thebetweenlands:adventurer/dank_world
minecraft:recipes/decorations/slime, minecraft:recipes/decorations/slime, minecraft:recipes/root
thebetweenlands:adventurer/ruined_it, thebetweenlands:adventurer/ruined_it, thebetweenlands:adventurer/dank_world
minecraft:recipes/building_blocks/purple_wool, minecraft:recipes/building_blocks/purple_wool, minecraft:recipes/root
thebetweenlands:survivalist/root, thebetweenlands:survivalist/root, No Parent
thebetweenlands:adventurer/idolised, thebetweenlands:adventurer/idolised, thebetweenlands:adventurer/dank_world
minecraft:recipes/food/rabbit_stew_from_brown_mushroom, minecraft:recipes/food/rabbit_stew_from_brown_mushroom, minecraft:recipes/root
thebetweenlands:farmer/sporadically_radical, thebetweenlands:farmer/sporadically_radical, thebetweenlands:farmer/mr_compost
minecraft:recipes/decorations/blue_bed, minecraft:recipes/decorations/blue_bed, minecraft:recipes/root
minecraft:recipes/building_blocks/magenta_concrete_powder, minecraft:recipes/building_blocks/magenta_concrete_powder, minecraft:recipes/root
minecraft:recipes/building_blocks/pillar_quartz_block, minecraft:recipes/building_blocks/pillar_quartz_block, minecraft:recipes/root
minecraft:recipes/decorations/lime_carpet, minecraft:recipes/decorations/lime_carpet, minecraft:recipes/root
minecraft:recipes/decorations/green_bed, minecraft:recipes/decorations/green_bed, minecraft:recipes/root
minecraft:recipes/misc/writable_book, minecraft:recipes/misc/writable_book, minecraft:recipes/root
minecraft:recipes/building_blocks/oak_wooden_slab, minecraft:recipes/building_blocks/oak_wooden_slab, minecraft:recipes/root
minecraft:recipes/misc/wheat, minecraft:recipes/misc/wheat, minecraft:recipes/root
minecraft:adventure/sniper_duel, minecraft:adventure/sniper_duel, minecraft:adventure/shoot_arrow
thebetweenlands:adventurer/give_me_that, thebetweenlands:adventurer/give_me_that, thebetweenlands:adventurer/root
minecraft:recipes/decorations/white_bed, minecraft:recipes/decorations/white_bed, minecraft:recipes/root
minecraft:recipes/decorations/lime_banner, minecraft:recipes/decorations/lime_banner, minecraft:recipes/root
minecraft:recipes/transportation/furnace_minecart, minecraft:recipes/transportation/furnace_minecart, minecraft:recipes/root
minecraft:nether/root, minecraft:nether/root, No Parent
iceandfire:iceandfire/bestiary, iceandfire:iceandfire/bestiary, iceandfire:iceandfire/root
minecraft:recipes/decorations/magenta_bed, minecraft:recipes/decorations/magenta_bed, minecraft:recipes/root
minecraft:recipes/food/rabbit_stew_from_red_mushroom, minecraft:recipes/food/rabbit_stew_from_red_mushroom, minecraft:recipes/root
minecraft:recipes/building_blocks/dark_prismarine, minecraft:recipes/building_blocks/dark_prismarine, minecraft:recipes/root
minecraft:recipes/redstone/redstone, minecraft:recipes/redstone/redstone, minecraft:recipes/root
minecraft:recipes/tools/golden_hoe, minecraft:recipes/tools/golden_hoe, minecraft:recipes/root
minecraft:recipes/food/bread, minecraft:recipes/food/bread, minecraft:recipes/root
minecraft:recipes/redstone/trapdoor, minecraft:recipes/redstone/trapdoor, minecraft:recipes/root
minecraft:recipes/decorations/lime_stained_glass_pane, minecraft:recipes/decorations/lime_stained_glass_pane, minecraft:recipes/root
minecraft:recipes/misc/iron_nugget, minecraft:recipes/misc/iron_nugget, minecraft:recipes/root
minecraft:recipes/transportation/hopper_minecart, minecraft:recipes/transportation/hopper_minecart, minecraft:recipes/root
minecraft:recipes/building_blocks/brown_concrete_powder, minecraft:recipes/building_blocks/brown_concrete_powder, minecraft:recipes/root
minecraft:recipes/decorations/black_bed_from_white_bed, minecraft:recipes/decorations/black_bed_from_white_bed, minecraft:recipes/root
minecraft:end/levitate, minecraft:end/levitate, minecraft:end/find_end_city
thebetweenlands:herbalist/fully_booked, thebetweenlands:herbalist/fully_booked, thebetweenlands:herbalist/bookworms
minecraft:recipes/decorations/pink_carpet, minecraft:recipes/decorations/pink_carpet, minecraft:recipes/root
thebetweenlands:fighter/chopping_boy, thebetweenlands:fighter/chopping_boy, thebetweenlands:fighter/serious_business
thebetweenlands:adventurer/big_wood, thebetweenlands:adventurer/big_wood, thebetweenlands:adventurer/dank_world
iceandfire:iceandfire/dragon_meal, iceandfire:iceandfire/dragon_meal, iceandfire:iceandfire/dragon_egg
minecraft:recipes/decorations/cyan_stained_glass_pane, minecraft:recipes/decorations/cyan_stained_glass_pane, minecraft:recipes/root
minecraft:recipes/combat/diamond_sword, minecraft:recipes/combat/diamond_sword, minecraft:recipes/root
minecraft:recipes/building_blocks/blue_stained_glass, minecraft:recipes/building_blocks/blue_stained_glass, minecraft:recipes/root
minecraft:recipes/building_blocks/cyan_wool, minecraft:recipes/building_blocks/cyan_wool, minecraft:recipes/root
minecraft:recipes/decorations/sign, minecraft:recipes/decorations/sign, minecraft:recipes/root
minecraft:nether/create_full_beacon, minecraft:nether/create_full_beacon, minecraft:nether/create_beacon
minecraft:recipes/transportation/spruce_boat, minecraft:recipes/transportation/spruce_boat, minecraft:recipes/root
minecraft:recipes/decorations/jukebox, minecraft:recipes/decorations/jukebox, minecraft:recipes/root
minecraft:recipes/building_blocks/diorite, minecraft:recipes/building_blocks/diorite, minecraft:recipes/root
minecraft:recipes/tools/flint_and_steel, minecraft:recipes/tools/flint_and_steel, minecraft:recipes/root
minecraft:recipes/misc/red_dye_from_beetroot, minecraft:recipes/misc/red_dye_from_beetroot, minecraft:recipes/root
minecraft:nether/summon_wither, minecraft:nether/summon_wither, minecraft:nether/get_wither_skull
iceandfire:iceandfire/dragon_egg, iceandfire:iceandfire/dragon_egg, iceandfire:iceandfire/kill_if_dragon
thebetweenlands:fighter/do_the_wave, thebetweenlands:fighter/do_the_wave, thebetweenlands:fighter/glorified_toothpick
minecraft:recipes/food/mushroom_stew, minecraft:recipes/food/mushroom_stew, minecraft:recipes/root
thebetweenlands:fighter/cling_bling, thebetweenlands:fighter/cling_bling, thebetweenlands:fighter/fashionable_warrior
minecraft:recipes/building_blocks/gray_wool, minecraft:recipes/building_blocks/gray_wool, minecraft:recipes/root
minecraft:recipes/misc/gold_nugget, minecraft:recipes/misc/gold_nugget, minecraft:recipes/root
minecraft:husbandry/balanced_diet, minecraft:husbandry/balanced_diet, minecraft:husbandry/plant_seed
minecraft:recipes/tools/wooden_hoe, minecraft:recipes/tools/wooden_hoe, minecraft:recipes/root
iceandfire:iceandfire/gorgon_head, iceandfire:iceandfire/gorgon_head, iceandfire:iceandfire/bestiary
iceandfire:iceandfire/tame_hippogryph, iceandfire:iceandfire/tame_hippogryph, iceandfire:iceandfire/bestiary
minecraft:nether/all_effects, minecraft:nether/all_effects, minecraft:nether/all_potions
thebetweenlands:miner/root, thebetweenlands:miner/root, No Parent
minecraft:recipes/misc/bucket, minecraft:recipes/misc/bucket, minecraft:recipes/root
thebetweenlands:adventurer/3spoopy5me, thebetweenlands:adventurer/3spoopy5me, thebetweenlands:adventurer/dank_world
iceandfire:iceandfire/kill_if_dragon, iceandfire:iceandfire/kill_if_dragon, iceandfire:iceandfire/bestiary
minecraft:nether/fast_travel, minecraft:nether/fast_travel, minecraft:nether/root
thebetweenlands:herbalist/bookworms, thebetweenlands:herbalist/bookworms, thebetweenlands:herbalist/im_a_druid
minecraft:recipes/decorations/yellow_bed_from_white_bed, minecraft:recipes/decorations/yellow_bed_from_white_bed, minecraft:recipes/root
iceandfire:iceandfire/dragonsteel, iceandfire:iceandfire/dragonsteel, iceandfire:iceandfire/dragon_forge_core
minecraft:recipes/decorations/orange_stained_glass_pane, minecraft:recipes/decorations/orange_stained_glass_pane, minecraft:recipes/root
thebetweenlands:survivalist/diwitted, thebetweenlands:survivalist/diwitted, thebetweenlands:survivalist/root
minecraft:recipes/decorations/white_banner, minecraft:recipes/decorations/white_banner, minecraft:recipes/root
minecraft:recipes/building_blocks/light_blue_concrete_powder, minecraft:recipes/building_blocks/light_blue_concrete_powder, minecraft:recipes/root
minecraft:recipes/decorations/pink_banner, minecraft:recipes/decorations/pink_banner, minecraft:recipes/root
mowziesmobs:kill_naga, mowziesmobs:kill_naga, mowziesmobs:root
minecraft:recipes/decorations/mossy_cobblestone_wall, minecraft:recipes/decorations/mossy_cobblestone_wall, minecraft:recipes/root
thebetweenlands:herbalist/screw_peta, thebetweenlands:herbalist/screw_peta, thebetweenlands:herbalist/im_a_druid
minecraft:recipes/building_blocks/hay_block, minecraft:recipes/building_blocks/hay_block, minecraft:recipes/root
minecraft:recipes/decorations/lime_bed, minecraft:recipes/decorations/lime_bed, minecraft:recipes/root
thebetweenlands:adventurer/winter_is_coming, thebetweenlands:adventurer/winter_is_coming, thebetweenlands:adventurer/dank_world
minecraft:recipes/tools/golden_shovel, minecraft:recipes/tools/golden_shovel, minecraft:recipes/root
minecraft:recipes/combat/iron_helmet, minecraft:recipes/combat/iron_helmet, minecraft:recipes/root
thebetweenlands:adventurer/disgracing_the_dead, thebetweenlands:adventurer/disgracing_the_dead, thebetweenlands:adventurer/pothead
minecraft:recipes/combat/bow, minecraft:recipes/combat/bow, minecraft:recipes/root
minecraft:recipes/redstone/tnt, minecraft:recipes/redstone/tnt, minecraft:recipes/root
minecraft:nether/get_wither_skull, minecraft:nether/get_wither_skull, minecraft:nether/find_fortress
minecraft:recipes/decorations/black_stained_glass_pane, minecraft:recipes/decorations/black_stained_glass_pane, minecraft:recipes/root
minecraft:recipes/building_blocks/smooth_sandstone, minecraft:recipes/building_blocks/smooth_sandstone, minecraft:recipes/root
iceandfire:iceandfire/rotten_egg, iceandfire:iceandfire/rotten_egg, iceandfire:iceandfire/bestiary
minecraft:recipes/building_blocks/granite, minecraft:recipes/building_blocks/granite, minecraft:recipes/root
vampirism:vampire/max_level, vampirism:vampire/max_level, vampirism:vampire/bat
minecraft:recipes/building_blocks/purple_concrete_powder, minecraft:recipes/building_blocks/purple_concrete_powder, minecraft:recipes/root
iceandfire:iceandfire/myrmex_resin, iceandfire:iceandfire/myrmex_resin, iceandfire:iceandfire/kill_myrmex
minecraft:husbandry/bred_all_animals, minecraft:husbandry/bred_all_animals, minecraft:husbandry/breed_an_animal
minecraft:recipes/decorations/orange_bed_from_white_bed, minecraft:recipes/decorations/orange_bed_from_white_bed, minecraft:recipes/root
thebetweenlands:adventurer/up_up_and_away, thebetweenlands:adventurer/up_up_and_away, thebetweenlands:adventurer/dank_world
thebetweenlands:farmer/a_vine_bush, thebetweenlands:farmer/a_vine_bush, thebetweenlands:farmer/mr_compost
thebetweenlands:farmer/root, thebetweenlands:farmer/root, No Parent
iceandfire:iceandfire/dragonarmor, iceandfire:iceandfire/dragonarmor, iceandfire:iceandfire/dragon_egg
minecraft:recipes/decorations/orange_carpet, minecraft:recipes/decorations/orange_carpet, minecraft:recipes/root
minecraft:recipes/combat/diamond_chestplate, minecraft:recipes/combat/diamond_chestplate, minecraft:recipes/root
minecraft:story/mine_stone, minecraft:story/mine_stone, minecraft:story/root
minecraft:recipes/transportation/minecart, minecraft:recipes/transportation/minecart, minecraft:recipes/root
minecraft:recipes/decorations/furnace, minecraft:recipes/decorations/furnace, minecraft:recipes/root
minecraft:recipes/misc/beacon, minecraft:recipes/misc/beacon, minecraft:recipes/root
minecraft:recipes/food/beetroot_soup, minecraft:recipes/food/beetroot_soup, minecraft:recipes/root
iceandfire:iceandfire/tame_deathworm, iceandfire:iceandfire/tame_deathworm, iceandfire:iceandfire/kill_deathworm
vampirism:vampire/bat, vampirism:vampire/bat, vampirism:vampire/become_vampire
minecraft:recipes/decorations/green_stained_glass_pane, minecraft:recipes/decorations/green_stained_glass_pane, minecraft:recipes/root
minecraft:recipes/building_blocks/orange_wool, minecraft:recipes/building_blocks/orange_wool, minecraft:recipes/root
minecraft:recipes/tools/wooden_pickaxe, minecraft:recipes/tools/wooden_pickaxe, minecraft:recipes/root
minecraft:recipes/tools/iron_hoe, minecraft:recipes/tools/iron_hoe, minecraft:recipes/root
minecraft:recipes/decorations/cyan_carpet, minecraft:recipes/decorations/cyan_carpet, minecraft:recipes/root
minecraft:husbandry/root, minecraft:husbandry/root, No Parent
minecraft:recipes/redstone/redstone_torch, minecraft:recipes/redstone/redstone_torch, minecraft:recipes/root
minecraft:recipes/building_blocks/stone_brick_slab, minecraft:recipes/building_blocks/stone_brick_slab, minecraft:recipes/root
minecraft:recipes/transportation/birch_boat, minecraft:recipes/transportation/birch_boat, minecraft:recipes/root
minecraft:recipes/food/golden_apple, minecraft:recipes/food/golden_apple, minecraft:recipes/root
minecraft:recipes/decorations/enchanting_table, minecraft:recipes/decorations/enchanting_table, minecraft:recipes/root
minecraft:recipes/building_blocks/green_concrete_powder, minecraft:recipes/building_blocks/green_concrete_powder, minecraft:recipes/root
mowziesmobs:kill_foliaath, mowziesmobs:kill_foliaath, mowziesmobs:root
minecraft:recipes/misc/light_gray_dye_from_ink_bonemeal, minecraft:recipes/misc/light_gray_dye_from_ink_bonemeal, minecraft:recipes/root
thebetweenlands:survivalist/quest_for_fire, thebetweenlands:survivalist/quest_for_fire, thebetweenlands:survivalist/pyromaniac
minecraft:recipes/tools/iron_shovel, minecraft:recipes/tools/iron_shovel, minecraft:recipes/root
thebetweenlands:farmer/mr_compost, thebetweenlands:farmer/mr_compost, thebetweenlands:farmer/root
minecraft:recipes/redstone/acacia_door, minecraft:recipes/redstone/acacia_door, minecraft:recipes/root
minecraft:recipes/building_blocks/orange_stained_glass, minecraft:recipes/building_blocks/orange_stained_glass, minecraft:recipes/root
minecraft:recipes/decorations/cyan_bed_from_white_bed, minecraft:recipes/decorations/cyan_bed_from_white_bed, minecraft:recipes/root
minecraft:recipes/misc/bowl, minecraft:recipes/misc/bowl, minecraft:recipes/root
thebetweenlands:adventurer/light_the_braziers, thebetweenlands:adventurer/light_the_braziers, thebetweenlands:adventurer/dank_world
minecraft:recipes/decorations/item_frame, minecraft:recipes/decorations/item_frame, minecraft:recipes/root
minecraft:recipes/decorations/lime_bed_from_white_bed, minecraft:recipes/decorations/lime_bed_from_white_bed, minecraft:recipes/root
minecraft:recipes/tools/stone_hoe, minecraft:recipes/tools/stone_hoe, minecraft:recipes/root
minecraft:recipes/tools/clock, minecraft:recipes/tools/clock, minecraft:recipes/root
minecraft:recipes/decorations/spruce_fence, minecraft:recipes/decorations/spruce_fence, minecraft:recipes/root
minecraft:recipes/tools/diamond_hoe, minecraft:recipes/tools/diamond_hoe, minecraft:recipes/root
minecraft:recipes/transportation/activator_rail, minecraft:recipes/transportation/activator_rail, minecraft:recipes/root
minecraft:recipes/combat/spectral_arrow, minecraft:recipes/combat/spectral_arrow, minecraft:recipes/root
minecraft:recipes/decorations/white_stained_glass_pane, minecraft:recipes/decorations/white_stained_glass_pane, minecraft:recipes/root
minecraft:recipes/tools/diamond_shovel, minecraft:recipes/tools/diamond_shovel, minecraft:recipes/root
minecraft:recipes/building_blocks/dark_oak_stairs, minecraft:recipes/building_blocks/dark_oak_stairs, minecraft:recipes/root
minecraft:recipes/decorations/end_crystal, minecraft:recipes/decorations/end_crystal, minecraft:recipes/root
thebetweenlands:farmer/lively_crops, thebetweenlands:farmer/lively_crops, thebetweenlands:farmer/sporadically_radical
minecraft:story/enter_the_nether, minecraft:story/enter_the_nether, minecraft:story/form_obsidian
minecraft:recipes/decorations/green_bed_from_white_bed, minecraft:recipes/decorations/green_bed_from_white_bed, minecraft:recipes/root
minecraft:adventure/trade, minecraft:adventure/trade, minecraft:adventure/root
minecraft:recipes/decorations/white_carpet, minecraft:recipes/decorations/white_carpet, minecraft:recipes/root
minecraft:recipes/decorations/ender_chest, minecraft:recipes/decorations/ender_chest, minecraft:recipes/root
minecraft:recipes/building_blocks/spruce_stairs, minecraft:recipes/building_blocks/spruce_stairs, minecraft:recipes/root
vampirism:hunter/stake, vampirism:hunter/stake, vampirism:hunter/become_hunter
minecraft:recipes/building_blocks/red_sandstone_slab, minecraft:recipes/building_blocks/red_sandstone_slab, minecraft:recipes/root
minecraft:nether/uneasy_alliance, minecraft:nether/uneasy_alliance, minecraft:nether/return_to_sender
minecraft:recipes/redstone/birch_door, minecraft:recipes/redstone/birch_door, minecraft:recipes/root
minecraft:recipes/decorations/green_banner, minecraft:recipes/decorations/green_banner, minecraft:recipes/root
minecraft:recipes/decorations/glass_pane, minecraft:recipes/decorations/glass_pane, minecraft:recipes/root
minecraft:recipes/misc/gold_ingot_from_nuggets, minecraft:recipes/misc/gold_ingot_from_nuggets, minecraft:recipes/root
minecraft:recipes/decorations/purple_banner, minecraft:recipes/decorations/purple_banner, minecraft:recipes/root
minecraft:recipes/misc/lapis_lazuli, minecraft:recipes/misc/lapis_lazuli, minecraft:recipes/root
minecraft:recipes/building_blocks/magenta_stained_glass, minecraft:recipes/building_blocks/magenta_stained_glass, minecraft:recipes/root
minecraft:story/mine_diamond, minecraft:story/mine_diamond, minecraft:story/iron_tools
minecraft:story/upgrade_tools, minecraft:story/upgrade_tools, minecraft:story/mine_stone
thebetweenlands:fighter/fearless_fighter, thebetweenlands:fighter/fearless_fighter, thebetweenlands:fighter/chopping_boy
minecraft:recipes/combat/diamond_helmet, minecraft:recipes/combat/diamond_helmet, minecraft:recipes/root
abyssalcraft:mine_dreadlands_ores, abyssalcraft:mine_dreadlands_ores, abyssalcraft:mine_abyssal_ores
thebetweenlands:adventurer/thunderstruck, thebetweenlands:adventurer/thunderstruck, thebetweenlands:adventurer/dank_world
minecraft:recipes/decorations/anvil, minecraft:recipes/decorations/anvil, minecraft:recipes/root
mowziesmobs:sneak_village, mowziesmobs:sneak_village, mowziesmobs:kill_barako
iceandfire:iceandfire/dragon_staff, iceandfire:iceandfire/dragon_staff, iceandfire:iceandfire/dragon_egg
minecraft:recipes/misc/pink_dye_from_pink_tulip, minecraft:recipes/misc/pink_dye_from_pink_tulip, minecraft:recipes/root
minecraft:recipes/decorations/blue_bed_from_white_bed, minecraft:recipes/decorations/blue_bed_from_white_bed, minecraft:recipes/root
minecraft:recipes/decorations/birch_fence, minecraft:recipes/decorations/birch_fence, minecraft:recipes/root
minecraft:recipes/misc/gold_ingot_from_block, minecraft:recipes/misc/gold_ingot_from_block, minecraft:recipes/root
minecraft:recipes/building_blocks/cyan_concrete_powder, minecraft:recipes/building_blocks/cyan_concrete_powder, minecraft:recipes/root
minecraft:recipes/building_blocks/stone_brick_stairs, minecraft:recipes/building_blocks/stone_brick_stairs, minecraft:recipes/root
mowziesmobs:kill_grottol, mowziesmobs:kill_grottol, mowziesmobs:root
minecraft:recipes/combat/golden_boots, minecraft:recipes/combat/golden_boots, minecraft:recipes/root
minecraft:recipes/tools/wooden_axe, minecraft:recipes/tools/wooden_axe, minecraft:recipes/root
minecraft:recipes/building_blocks/lime_wool, minecraft:recipes/building_blocks/lime_wool, minecraft:recipes/root
minecraft:recipes/misc/paper, minecraft:recipes/misc/paper, minecraft:recipes/root
minecraft:recipes/misc/magenta_dye_from_lapis_ink_bonemeal, minecraft:recipes/misc/magenta_dye_from_lapis_ink_bonemeal, minecraft:recipes/root
minecraft:recipes/misc/pink_dye_from_peony, minecraft:recipes/misc/pink_dye_from_peony, minecraft:recipes/root
